Period,Dimension,Org_Level,Org_Code,Org_Name,Measure,Count_Of,Value
2021-22,AgeAtBookingMotherGroup,National,National,ALL SUBMITTERS,Under 20,Deliveries,16625
2021-22,AgeAtBookingMotherGroup,National,National,ALL SUBMITTERS,20 to 24,Deliveries,73450
2021-22,AgeAtBookingMotherGroup,National,National,ALL SUBMITTERS,25 to 29,Deliveries,152280
2021-22,AgeAtBookingMotherGroup,National,National,ALL SUBMITTERS,30 to 34,Deliveries,185655
2021-22,AgeAtBookingMotherGroup,National,National,ALL SUBMITTERS,35 to 39,Deliveries,96970
2021-22,AgeAtBookingMotherGroup,National,National,ALL SUBMITTERS,40 to 44,Deliveries,19755
2021-22,AgeAtBookingMotherGroup,National,National,ALL SUBMITTERS,45 or Over,Deliveries,1355
2021-22,AgeAtBookingMotherGroup,National,National,ALL SUBMITTERS,Missing value / Value outside reporting parameters,Deliveries,5
2021-22,AgeAtBookingMotherGroup,NHS England (Region),Y56,LONDON COMMISSIONING REGION,Under 20,Deliveries,1730
2021-22,AgeAtBookingMotherGroup,NHS England (Region),Y56,LONDON COMMISSIONING REGION,20 to 24,Deliveries,10595
2021-22,AgeAtBookingMotherGroup,NHS England (Region),Y56,LONDON COMMISSIONING REGION,25 to 29,Deliveries,23910
2021-22,AgeAtBookingMotherGroup,NHS England (Region),Y56,LONDON COMMISSIONING REGION,30 to 34,Deliveries,38205
2021-22,AgeAtBookingMotherGroup,NHS England (Region),Y56,LONDON COMMISSIONING REGION,35 to 39,Deliveries,25115
2021-22,AgeAtBookingMotherGroup,NHS England (Region),Y56,LONDON COMMISSIONING REGION,40 to 44,Deliveries,5720
2021-22,AgeAtBookingMotherGroup,NHS England (Region),Y56,LONDON COMMISSIONING REGION,45 or Over,Deliveries,520
2021-22,AgeAtBookingMotherGroup,NHS England (Region),Y56,LONDON COMMISSIONING REGION,Missing value / Value outside reporting parameters,Deliveries,5
2021-22,AgeAtBookingMotherGroup,NHS England (Region),Y58,SOUTH WEST COMMISSIONING REGION,Under 20,Deliveries,1410
2021-22,AgeAtBookingMotherGroup,NHS England (Region),Y58,SOUTH WEST COMMISSIONING REGION,20 to 24,Deliveries,6250
2021-22,AgeAtBookingMotherGroup,NHS England (Region),Y58,SOUTH WEST COMMISSIONING REGION,25 to 29,Deliveries,13750
2021-22,AgeAtBookingMotherGroup,NHS England (Region),Y58,SOUTH WEST COMMISSIONING REGION,30 to 34,Deliveries,17180
2021-22,AgeAtBookingMotherGroup,NHS England (Region),Y58,SOUTH WEST COMMISSIONING REGION,35 to 39,Deliveries,8545
2021-22,AgeAtBookingMotherGroup,NHS England (Region),Y58,SOUTH WEST COMMISSIONING REGION,40 to 44,Deliveries,1680
2021-22,AgeAtBookingMotherGroup,NHS England (Region),Y58,SOUTH WEST COMMISSIONING REGION,45 or Over,Deliveries,85
2021-22,AgeAtBookingMotherGroup,NHS England (Region),Y58,SOUTH WEST COMMISSIONING REGION,Missing value / Value outside reporting parameters,Deliveries,0
2021-22,AgeAtBookingMotherGroup,NHS England (Region),Y59,SOUTH EAST COMMISSIONING REGION,Under 20,Deliveries,2060
2021-22,AgeAtBookingMotherGroup,NHS England (Region),Y59,SOUTH EAST COMMISSIONING REGION,20 to 24,Deliveries,9620
2021-22,AgeAtBookingMotherGroup,NHS England (Region),Y59,SOUTH EAST COMMISSIONING REGION,25 to 29,Deliveries,21700
2021-22,AgeAtBookingMotherGroup,NHS England (Region),Y59,SOUTH EAST COMMISSIONING REGION,30 to 34,Deliveries,29375
2021-22,AgeAtBookingMotherGroup,NHS England (Region),Y59,SOUTH EAST COMMISSIONING REGION,35 to 39,Deliveries,15365
2021-22,AgeAtBookingMotherGroup,NHS England (Region),Y59,SOUTH EAST COMMISSIONING REGION,40 to 44,Deliveries,3075
2021-22,AgeAtBookingMotherGroup,NHS England (Region),Y59,SOUTH EAST COMMISSIONING REGION,45 or Over,Deliveries,200
2021-22,AgeAtBookingMotherGroup,NHS England (Region),Y59,SOUTH EAST COMMISSIONING REGION,Missing value / Value outside reporting parameters,Deliveries,0
2021-22,AgeAtBookingMotherGroup,NHS England (Region),Y60,MIDLANDS COMMISSIONING REGION,Under 20,Deliveries,3575
2021-22,AgeAtBookingMotherGroup,NHS England (Region),Y60,MIDLANDS COMMISSIONING REGION,20 to 24,Deliveries,15410
2021-22,AgeAtBookingMotherGroup,NHS England (Region),Y60,MIDLANDS COMMISSIONING REGION,25 to 29,Deliveries,30070
